Time,L29
15/05/2014 07:59,33.23
15/05/2014 09:29,33.23
15/05/2014 10:59,33.23
15/05/2014 12:29,33.23
15/05/2014 13:59,33.23
15/05/2014 15:29,33.23
15/05/2014 16:59,33.23
15/05/2014 18:29,33.23
15/05/2014 19:59,33.23
15/05/2014 21:29,33.23
15/05/2014 22:59,36.286
16/05/2014 00:29,36.286
16/05/2014 01:59,36.286
16/05/2014 03:29,36.286
16/05/2014 04:59,36.286
16/05/2014 06:29,36.286
16/05/2014 07:59,39.278
16/05/2014 09:29,39.278
16/05/2014 10:59,39.278
16/05/2014 12:29,42.268
16/05/2014 13:59,42.268
16/05/2014 15:29,42.268
16/05/2014 16:59,42.268
16/05/2014 18:29,21.923
16/05/2014 19:59,22.173
16/05/2014 21:29,22.173
16/05/2014 22:59,21.86
17/05/2014 00:29,21.485
17/05/2014 01:59,20.984
17/05/2014 03:29,20.609
17/05/2014 04:59,20.171
17/05/2014 06:29,19.858
17/05/2014 07:59,18.92
17/05/2014 09:29,18.544
17/05/2014 10:59,18.419
17/05/2014 12:29,18.419
17/05/2014 13:59,19.984
17/05/2014 15:29,20.547
17/05/2014 16:59,20.609
17/05/2014 18:29,20.672
17/05/2014 19:59,20.734
17/05/2014 21:29,20.734
17/05/2014 22:59,20.859
18/05/2014 00:29,20.922
18/05/2014 01:59,20.922
18/05/2014 03:29,20.859
18/05/2014 04:59,20.609
18/05/2014 06:29,20.171
18/05/2014 07:59,19.733
18/05/2014 09:29,19.233
18/05/2014 10:59,18.857
18/05/2014 12:29,18.857
18/05/2014 13:59,19.796
18/05/2014 15:29,17.731
18/05/2014 16:59,16.353
18/05/2014 18:29,15.664
18/05/2014 19:59,13.848
18/05/2014 21:29,12.595
18/05/2014 22:59,10.903
19/05/2014 00:29,9.147
19/05/2014 01:59,7.705
19/05/2014 03:29,6.764
19/05/2014 04:59,12.093
19/05/2014 06:29,14.6
19/05/2014 07:59,15.79
19/05/2014 09:29,16.604
19/05/2014 10:59,17.292
19/05/2014 12:29,17.731
19/05/2014 13:59,17.292
19/05/2014 15:29,18.106
19/05/2014 16:59,18.795
19/05/2014 18:29,19.17
19/05/2014 19:59,19.483
19/05/2014 21:29,19.921
19/05/2014 22:59,20.234
20/05/2014 00:29,21.673
20/05/2014 01:59,24.236
20/05/2014 03:29,25.674
20/05/2014 04:59,23.861
20/05/2014 06:29,22.235
20/05/2014 07:59,21.297
20/05/2014 09:29,20.609
20/05/2014 10:59,20.171
20/05/2014 12:29,19.858
20/05/2014 13:59,19.608
20/05/2014 15:29,19.42
20/05/2014 16:59,19.233
20/05/2014 18:29,19.107
20/05/2014 19:59,18.982
20/05/2014 21:29,18.795
20/05/2014 22:59,18.732
21/05/2014 00:29,18.732
21/05/2014 01:59,18.732
21/05/2014 03:29,18.795
21/05/2014 04:59,18.732
21/05/2014 06:29,18.732
21/05/2014 07:59,18.795
21/05/2014 09:29,18.795
21/05/2014 10:59,18.795
21/05/2014 12:29,18.92
21/05/2014 13:59,18.982
21/05/2014 15:29,19.045
21/05/2014 16:59,19.045
21/05/2014 18:29,19.107
21/05/2014 19:59,19.233
21/05/2014 21:29,19.295
21/05/2014 22:59,19.295
22/05/2014 00:29,19.295
22/05/2014 01:59,19.295
22/05/2014 03:29,19.295
22/05/2014 04:59,19.295
22/05/2014 06:29,19.358
22/05/2014 07:59,19.358
22/05/2014 09:29,19.42
22/05/2014 10:59,20.234
22/05/2014 12:29,19.984
22/05/2014 13:59,19.984
22/05/2014 15:29,20.046
22/05/2014 16:59,20.296
22/05/2014 18:29,20.109
22/05/2014 19:59,19.921
22/05/2014 21:29,20.296
22/05/2014 22:59,19.858
23/05/2014 00:29,18.044
23/05/2014 01:59,17.48
23/05/2014 03:29,18.294
23/05/2014 04:59,18.106
23/05/2014 06:29,18.231
23/05/2014 07:59,17.731
23/05/2014 09:29,17.23
23/05/2014 10:59,17.605
23/05/2014 12:29,17.167
23/05/2014 13:59,16.729
23/05/2014 15:29,16.541
23/05/2014 16:59,16.291
23/05/2014 18:29,16.416
23/05/2014 19:59,16.478
23/05/2014 21:29,16.604
23/05/2014 22:59,17.23
24/05/2014 00:29,18.92
24/05/2014 01:59,21.172
24/05/2014 03:29,22.798
24/05/2014 04:59,23.361
24/05/2014 06:29,18.482
24/05/2014 07:59,15.852
24/05/2014 09:29,15.226
24/05/2014 10:59,15.664
24/05/2014 12:29,16.854
24/05/2014 13:59,16.791
24/05/2014 15:29,16.604
24/05/2014 16:59,16.353
24/05/2014 18:29,16.103
24/05/2014 19:59,15.539
24/05/2014 21:29,14.662
24/05/2014 22:59,14.788
25/05/2014 00:29,15.539
25/05/2014 01:59,16.353
25/05/2014 03:29,16.791
25/05/2014 04:59,17.105
25/05/2014 06:29,17.355
25/05/2014 07:59,17.418
25/05/2014 09:29,17.668
25/05/2014 10:59,17.731
25/05/2014 12:29,17.605
25/05/2014 13:59,17.48
25/05/2014 15:29,17.418
25/05/2014 16:59,17.23
25/05/2014 18:29,17.105
25/05/2014 19:59,16.666
25/05/2014 21:29,16.478
25/05/2014 22:59,16.416
26/05/2014 00:29,16.291
26/05/2014 01:59,16.291
26/05/2014 03:29,16.353
26/05/2014 04:59,16.353
26/05/2014 06:29,16.353
26/05/2014 07:59,16.291
26/05/2014 09:29,16.291
26/05/2014 10:59,16.416
26/05/2014 12:29,16.353
26/05/2014 13:59,16.416
26/05/2014 15:29,16.416
26/05/2014 16:59,16.666
26/05/2014 18:29,14.412
26/05/2014 19:59,11.968
26/05/2014 21:29,13.535
26/05/2014 22:59,13.159
27/05/2014 00:29,13.973
27/05/2014 01:59,16.04
27/05/2014 03:29,16.291
27/05/2014 04:59,16.103
27/05/2014 06:29,15.602
27/05/2014 07:59,15.163
27/05/2014 09:29,14.788
27/05/2014 10:59,14.412
27/05/2014 12:29,14.099
27/05/2014 13:59,13.785
27/05/2014 15:29,13.472
27/05/2014 16:59,13.221
27/05/2014 18:29,13.096
27/05/2014 19:59,10.84
27/05/2014 21:29,12.031
27/05/2014 22:59,15.602
28/05/2014 00:29,18.482
28/05/2014 01:59,38.281
28/05/2014 03:29,38.904
28/05/2014 04:59,39.216
28/05/2014 06:29,38.281
28/05/2014 07:59,38.094
28/05/2014 09:29,37.969
28/05/2014 10:59,37.907
28/05/2014 12:29,38.156
28/05/2014 13:59,38.219
28/05/2014 15:29,38.343
28/05/2014 16:59,38.593
28/05/2014 18:29,38.53
28/05/2014 19:59,39.029
28/05/2014 21:29,38.904
28/05/2014 22:59,38.904
29/05/2014 00:29,38.717
29/05/2014 01:59,39.091
29/05/2014 03:29,39.153
29/05/2014 04:59,38.967
29/05/2014 06:29,39.091
29/05/2014 07:59,39.029
29/05/2014 09:29,39.091
29/05/2014 10:59,38.904
29/05/2014 12:29,39.278
29/05/2014 13:59,38.967
29/05/2014 15:29,39.091
29/05/2014 16:59,38.842
29/05/2014 18:29,39.216
29/05/2014 19:59,38.904
29/05/2014 21:29,38.717
29/05/2014 22:59,39.216
30/05/2014 00:29,39.216
30/05/2014 01:59,39.34
30/05/2014 03:29,39.59
30/05/2014 04:59,39.465
30/05/2014 06:29,39.091
30/05/2014 07:59,39.278
30/05/2014 09:29,39.465
30/05/2014 10:59,38.842
30/05/2014 12:29,39.153
30/05/2014 13:59,38.655
30/05/2014 15:29,39.029
30/05/2014 16:59,38.78
30/05/2014 18:29,38.78
30/05/2014 19:59,39.216
30/05/2014 21:29,38.842
30/05/2014 22:59,39.216
31/05/2014 00:29,38.967
31/05/2014 01:59,39.091
31/05/2014 03:29,39.216
31/05/2014 04:59,39.029
31/05/2014 06:29,39.153
31/05/2014 07:59,38.967
31/05/2014 09:29,39.091
31/05/2014 10:59,39.153
31/05/2014 12:29,38.655
31/05/2014 13:59,38.78
31/05/2014 15:29,39.091
31/05/2014 16:59,39.278
31/05/2014 18:29,39.153
31/05/2014 19:59,39.091
31/05/2014 21:29,38.967
31/05/2014 22:59,39.153
01/06/2014 00:29,39.091
01/06/2014 01:59,39.278
01/06/2014 03:29,39.278
01/06/2014 04:59,39.153
01/06/2014 06:29,39.153
01/06/2014 07:59,39.278
01/06/2014 09:29,39.465
01/06/2014 10:59,38.842
01/06/2014 12:29,38.78
01/06/2014 13:59,39.216
01/06/2014 15:29,39.029
01/06/2014 16:59,39.216
01/06/2014 18:29,39.029
01/06/2014 19:59,38.717
01/06/2014 21:29,38.655
01/06/2014 22:59,39.216
02/06/2014 00:29,39.216
02/06/2014 01:59,39.278
02/06/2014 03:29,39.465
02/06/2014 04:59,39.091
02/06/2014 06:29,39.34
02/06/2014 07:59,39.403
02/06/2014 09:29,39.403
02/06/2014 10:59,39.465
02/06/2014 12:29,39.091
02/06/2014 13:59,38.53
02/06/2014 15:29,39.091
02/06/2014 16:59,39.216
02/06/2014 18:29,39.029
02/06/2014 19:59,38.967
02/06/2014 21:29,38.967
02/06/2014 22:59,39.34
03/06/2014 00:29,39.465
03/06/2014 01:59,39.403
03/06/2014 03:29,39.153
03/06/2014 04:59,39.153
03/06/2014 06:29,39.216
03/06/2014 07:59,39.029
03/06/2014 09:29,38.842
03/06/2014 10:59,39.59
03/06/2014 12:29,39.34
03/06/2014 13:59,38.904
03/06/2014 15:29,38.904
03/06/2014 16:59,39.029
03/06/2014 18:29,38.967
03/06/2014 19:59,38.904
03/06/2014 21:29,38.842
03/06/2014 22:59,39.403
04/06/2014 00:29,39.029
04/06/2014 01:59,39.153
04/06/2014 03:29,39.216
04/06/2014 04:59,39.216
04/06/2014 06:29,38.842
04/06/2014 07:59,39.278
04/06/2014 09:29,38.78
04/06/2014 10:59,38.593
04/06/2014 12:29,38.406
04/06/2014 13:59,39.091
04/06/2014 15:29,38.842
04/06/2014 16:59,38.78
04/06/2014 18:29,39.029
04/06/2014 19:59,38.842
04/06/2014 21:29,39.278
04/06/2014 22:59,39.216
05/06/2014 00:29,39.34
05/06/2014 01:59,39.59
05/06/2014 03:29,39.34
05/06/2014 04:59,39.465
05/06/2014 06:29,39.029
05/06/2014 07:59,39.34
05/06/2014 09:29,39.34
05/06/2014 10:59,39.59
05/06/2014 12:29,39.403
05/06/2014 13:59,39.777
05/06/2014 15:29,39.652
05/06/2014 16:59,39.59
05/06/2014 18:29,39.278
05/06/2014 19:59,39.091
05/06/2014 21:29,39.465
05/06/2014 22:59,39.465
06/06/2014 00:29,38.967
06/06/2014 01:59,39.091
06/06/2014 03:29,39.029
06/06/2014 04:59,39.153
06/06/2014 06:29,39.652
06/06/2014 07:59,39.403
06/06/2014 09:29,38.78
06/06/2014 10:59,39.216
06/06/2014 12:29,39.216
06/06/2014 13:59,38.967
06/06/2014 15:29,39.216
06/06/2014 16:59,39.216
06/06/2014 18:29,39.216
06/06/2014 19:59,38.53
06/06/2014 21:29,38.593
06/06/2014 22:59,38.842
07/06/2014 00:29,39.153
07/06/2014 01:59,39.278
07/06/2014 03:29,39.465
07/06/2014 04:59,39.091
07/06/2014 06:29,38.904
07/06/2014 07:59,39.403
07/06/2014 09:29,39.59
07/06/2014 10:59,39.403
07/06/2014 12:29,38.967
07/06/2014 13:59,39.278
07/06/2014 15:29,39.278
07/06/2014 16:59,39.278
07/06/2014 18:29,39.403
07/06/2014 19:59,39.091
07/06/2014 21:29,39.153
07/06/2014 22:59,39.34
08/06/2014 00:29,39.465
08/06/2014 01:59,39.34
08/06/2014 03:29,39.153
08/06/2014 04:59,39.153
08/06/2014 06:29,39.777
08/06/2014 07:59,39.839
08/06/2014 09:29,39.465
08/06/2014 10:59,38.842
08/06/2014 12:29,39.216
08/06/2014 13:59,39.278
08/06/2014 15:29,39.216
08/06/2014 16:59,39.34
08/06/2014 18:29,39.403
08/06/2014 19:59,38.842
08/06/2014 21:29,38.842
08/06/2014 22:59,39.34
09/06/2014 00:29,39.091
09/06/2014 01:59,39.216
09/06/2014 03:29,39.278
09/06/2014 04:59,39.029
09/06/2014 06:29,38.842
09/06/2014 07:59,38.967
09/06/2014 09:29,39.465
09/06/2014 10:59,39.216
09/06/2014 12:29,38.593
09/06/2014 13:59,38.967
09/06/2014 15:29,38.967
09/06/2014 16:59,39.465
09/06/2014 18:29,39.652
09/06/2014 19:59,38.78
09/06/2014 21:29,39.029
09/06/2014 22:59,39.465
10/06/2014 00:29,39.34
10/06/2014 01:59,39.527
10/06/2014 03:29,39.403
10/06/2014 04:59,39.278
10/06/2014 06:29,39.714
10/06/2014 07:59,39.714
10/06/2014 09:29,39.029
10/06/2014 10:59,38.468
10/06/2014 12:29,38.219
10/06/2014 13:59,38.967
10/06/2014 15:29,39.091
10/06/2014 16:59,39.091
10/06/2014 18:29,39.029
10/06/2014 19:59,38.655
10/06/2014 21:29,38.468
10/06/2014 22:59,39.216
11/06/2014 00:29,39.091
11/06/2014 01:59,39.278
11/06/2014 03:29,39.403
11/06/2014 04:59,38.842
11/06/2014 06:29,39.216
11/06/2014 07:59,39.153
11/06/2014 09:29,39.091
11/06/2014 10:59,38.219
11/06/2014 12:29,38.593
11/06/2014 13:59,38.717
11/06/2014 15:29,38.343
11/06/2014 16:59,39.091
11/06/2014 18:29,38.842
11/06/2014 19:59,38.78
11/06/2014 21:29,38.78
11/06/2014 22:59,38.655
12/06/2014 00:29,38.842
12/06/2014 01:59,39.029
12/06/2014 03:29,39.403
12/06/2014 04:59,39.029
12/06/2014 06:29,39.403
12/06/2014 07:59,39.465
12/06/2014 09:29,39.527
12/06/2014 10:59,39.465
12/06/2014 12:29,38.655
12/06/2014 13:59,39.029
12/06/2014 15:29,38.842
